X1,X2,X3,X4,X5,X6,X7,X8,X9
Pitch/Study1D0S101T1_f0.txt,1,0,101,T1,133.074551724138,21.916026986207,35.15,124.48
Pitch/Study1D0S101T10_f0.txt,1,0,101,T10,132.429,6.82720555484258,8.13249999999999,133.38
Pitch/Study1D0S101T2_f0.txt,1,0,101,T2,132.636438356164,18.2267905324285,14.88,129.21
Pitch/Study1D0S101T3_f0.txt,1,0,101,T3,121.64443438914,12.2242262916158,6.66000000000001,123.05
Pitch/Study1D0S101T4_f0.txt,1,0,101,T4,125.445046948357,9.10269837809078,12.7075,124.4
Pitch/Study1D0S101T5_f0.txt,1,0,101,T5,131.311853035144,21.4758663391444,14.16,127.85
Pitch/Study1D0S101T6_f0.txt,1,0,101,T6,131.183986254296,25.6191030137161,22.25,122.86
Pitch/Study1D0S101T7_f0.txt,1,0,101,T7,156.724727272727,36.6512536856372,61.0675,144.13
Pitch/Study1D0S101T8_f0.txt,1,0,101,T8,115.803116883117,4.96911679638933,7.01000000000001,116.16
Pitch/Study1D0S101T9_f0.txt,1,0,101,T9,129.55370212766,19.7431793495356,24.4225,127.925
Pitch/Study1D0S102T1_f0.txt,1,0,102,T1,210.401910946197,14.5838149156492,20.775,208.43
Pitch/Study1D0S102T10_f0.txt,1,0,102,T10,206.256820809249,14.3904739528651,19.455,202.32
Pitch/Study1D0S102T2_f0.txt,1,0,102,T2,207.112143826323,20.2580322104361,20.61,205.02
Pitch/Study1D0S102T3_f0.txt,1,0,102,T3,217.760376344086,16.5216218280587,23.6925,217.6
Pitch/Study1D0S102T4_f0.txt,1,0,102,T4,214.443106598985,19.2314983174571,22.65,209.94
Pitch/Study1D0S102T5_f0.txt,1,0,102,T5,210.79698019802,15.0807217837283,17.8775,207.65
Pitch/Study1D0S102T6_f0.txt,1,0,102,T6,205.736429906542,16.5497423789946,22.81,201.35
Pitch/Study1D0S102T7_f0.txt,1,0,102,T7,210.313866666667,17.982526443242,17.16,207.15
Pitch/Study1D0S102T8_f0.txt,1,0,102,T8,206.738902877698,13.1708381963394,14.0725,203.975
Pitch/Study1D0S102T9_f0.txt,1,0,102,T9,205.972162977867,18.7873254625518,21.9325,203.955
Pitch/Study1D0S103T1_f0.txt,1,0,103,T1,228.914554216867,19.3827537573656,27.865,225.65
Pitch/Study1D0S103T10_f0.txt,1,0,103,T10,225.725783365571,21.2724705729861,20.58,220.58
Pitch/Study1D0S103T2_f0.txt,1,0,103,T2,212.301097345133,17.8125603704163,18.46,207.47
Pitch/Study1D0S103T3_f0.txt,1,0,103,T3,220.056946778711,17.7236405456379,14.51,216.76
Pitch/Study1D0S103T4_f0.txt,1,0,103,T4,222.088864696734,20.9527201362456,16.4,217.47
Pitch/Study1D0S103T5_f0.txt,1,0,103,T5,222.275601851852,20.7898801481463,19.73,217.32
Pitch/Study1D0S103T6_f0.txt,1,0,103,T6,231.764233918129,24.2266583448647,29.655,226.88
Pitch/Study1D0S103T7_f0.txt,1,0,103,T7,230.353690349947,25.0188711739152,29.1,223.49
Pitch/Study1D0S103T8_f0.txt,1,0,103,T8,224.226528776978,19.3513925657873,18.6675,221.595
Pitch/Study1D0S103T9_f0.txt,1,0,103,T9,221.276560170394,20.7529792499737,22.7,217.17
Pitch/Study1D0S104T1_f0.txt,1,0,104,T1,102.972931937173,15.4826513026194,12.28,99.24
Pitch/Study1D0S104T10_f0.txt,1,0,104,T10,108.336202531646,7.17897563861768,9.9375,106
Pitch/Study1D0S104T2_f0.txt,1,0,104,T2,113.648515625,14.0706999467645,22.01,110.035
Pitch/Study1D0S104T3_f0.txt,1,0,104,T3,111.585447761194,10.6629667938828,15.1475,108.955
Pitch/Study1D0S104T4_f0.txt,1,0,104,T4,107.125992292871,14.5867649235293,15.03,105.52
Pitch/Study1D0S104T5_f0.txt,1,0,104,T5,105.086835106383,9.23114024502955,11.585,104.015
Pitch/Study1D0S104T6_f0.txt,1,0,104,T6,100.465319693095,11.6632216087567,15.375,101.82
Pitch/Study1D0S104T7_f0.txt,1,0,104,T7,115.216329479769,22.1978090992573,19.605,111.11
Pitch/Study1D0S104T8_f0.txt,1,0,104,T8,116.049162790698,10.3457205434509,10.08,113.59
Pitch/Study1D0S104T9_f0.txt,1,0,104,T9,108.698536585366,12.4375285529844,17.1875,105.94
Pitch/Study1D0S105T1_f0.txt,1,0,105,T1,92.76725,5.86634436114366,7.57250000000001,92.58
Pitch/Study1D0S105T10_f0.txt,1,0,105,T10,101.309166666667,15.0382759142896,15.41,98.685
Pitch/Study1D0S105T2_f0.txt,1,0,105,T2,99.6665170940171,12.9924717637907,15.1075,99.09
Pitch/Study1D0S105T3_f0.txt,1,0,105,T3,94.775501618123,8.67702228519796,12.12,94.33
Pitch/Study1D0S105T4_f0.txt,1,0,105,T4,107.058763250883,27.4578658567231,19.7075,99.48
Pitch/Study1D0S105T5_f0.txt,1,0,105,T5,97.7387410926366,14.9800409619234,13.41,95.14
Pitch/Study1D0S105T6_f0.txt,1,0,105,T6,94.8898883572568,10.9817837180345,10.955,95.07
Pitch/Study1D0S105T7_f0.txt,1,0,105,T7,103.182320217096,18.6728944935403,16.48,98.34
Pitch/Study1D0S105T8_f0.txt,1,0,105,T8,93.7521379310345,13.0961689789529,9.17,95.23
Pitch/Study1D0S105T9_f0.txt,1,0,105,T9,106.513154362416,26.3400691649649,19.885,96.62
Pitch/Study1D0S106T1_f0.txt,1,0,106,T1,85.8928362573099,7.57539243369143,6.19749999999999,84.505
Pitch/Study1D0S106T10_f0.txt,1,0,106,T10,90.2455056179775,4.48766744717624,6.39,89.29
Pitch/Study1D0S106T2_f0.txt,1,0,106,T2,89.6403578336557,7.41978594000854,9.345,88.96
Pitch/Study1D0S106T3_f0.txt,1,0,106,T3,91.0880021598272,8.81148899918158,7.6075,89.515
Pitch/Study1D0S106T4_f0.txt,1,0,106,T4,88.725043554007,6.47876276424606,8.60749999999999,87.88
Pitch/Study1D0S106T5_f0.txt,1,0,106,T5,86.4174253731343,6.23142751318571,5.86500000000001,86.46
Pitch/Study1D0S106T6_f0.txt,1,0,106,T6,88.0503010890455,6.56164090633176,6.75,87.51
Pitch/Study1D0S106T7_f0.txt,1,0,106,T7,88.7524196141479,4.94909587434112,6.14749999999999,88.475
Pitch/Study1D0S106T8_f0.txt,1,0,106,T8,87.1325423728814,3.87102256559134,4.52,86.95
Pitch/Study1D0S106T9_f0.txt,1,0,106,T9,88.8187136929461,4.64415888144807,5.58,88.43
Pitch/Study1D0S107T1_f0.txt,1,0,107,T1,245.029727891156,22.1622349800594,30.9025,240.585
Pitch/Study1D0S107T10_f0.txt,1,0,107,T10,239.850135135135,10.835115572674,16.6425,239.69
